model,threshold,accuracy,balanced_accuracy,precision,recall,sensitivity,specificity,f1_score,roc_auc,pr_auc,brier_score,tn,fp,fn,tp,confusion_matrix,fold
Logistic Regression,0.605,0.7961783439490446,0.6648936170212766,0.25,0.5,0.5,0.8297872340425532,0.3333333333333333,0.761968085106383,0.23649532223504657,0.1709758257919968,117,24,8,8,"[[117, 24], [8, 8]]",11
Logistic Regression,0.605,0.7834394904458599,0.7132092198581561,0.2631578947368421,0.625,0.625,0.8014184397163121,0.37037037037037035,0.7486702127659575,0.18974495750190326,0.20134581525234682,113,28,6,10,"[[113, 28], [6, 10]]",12
Logistic Regression,0.605,0.7579617834394905,0.7267287234042553,0.25,0.6875,0.6875,0.7659574468085106,0.36666666666666664,0.8178191489361701,0.4287972797827736,0.19574736567910486,108,33,5,11,"[[108, 33], [5, 11]]",13
Logistic Regression,0.605,0.7579617834394905,0.6436170212765957,0.21052631578947367,0.5,0.5,0.7872340425531915,0.2962962962962963,0.7460106382978724,0.22599641983023416,0.1918221822912414,111,30,8,8,"[[111, 30], [8, 8]]",14
Logistic Regression,0.605,0.717948717948718,0.6491071428571429,0.1956521739130435,0.5625,0.5625,0.7357142857142858,0.2903225806451613,0.7,0.1587955368947383,0.21284740764152255,103,37,7,9,"[[103, 37], [7, 9]]",15
Random Forest,0.18,0.5286624203821656,0.62677304964539,0.14634146341463414,0.75,0.75,0.5035460992907801,0.24489795918367346,0.6719858156028369,0.17227332707975307,0.13924368223544437,71,70,4,12,"[[71, 70], [4, 12]]",1
Random Forest,0.18,0.5859872611464968,0.7140957446808511,0.18181818181818182,0.875,0.875,0.5531914893617021,0.3010752688172043,0.6790780141843972,0.14336545736945544,0.1257496110526172,78,63,2,14,"[[78, 63], [2, 14]]",2
Random Forest,0.18,0.5923566878980892,0.6622340425531915,0.16666666666666666,0.75,0.75,0.574468085106383,0.2727272727272727,0.7242907801418439,0.1969031827945934,0.11527308954704497,81,60,4,12,"[[81, 60], [4, 12]]",3
Random Forest,0.18,0.5286624203821656,0.6821808510638298,0.16279069767441862,0.875,0.875,0.48936170212765956,0.27450980392156865,0.6671099290780143,0.163207471843284,0.1318462634411793,69,72,2,14,"[[69, 72], [2, 14]]",4
Random Forest,0.18,0.5961538461538461,0.6919642857142857,0.1780821917808219,0.8125,0.8125,0.5714285714285714,0.29213483146067415,0.7504464285714285,0.20221022846147654,0.11180906862169615,80,60,3,13,"[[80, 60], [3, 13]]",5
Random Forest,0.18,0.5286624203821656,0.65447695035461,0.15476190476190477,0.8125,0.8125,0.49645390070921985,0.26,0.7176418439716312,0.2309144168086344,0.1347882770555139,70,71,3,13,"[[70, 71], [3, 13]]",6
Random Forest,0.18,0.5605095541401274,0.6999113475177305,0.1728395061728395,0.875,0.875,0.524822695035461,0.28865979381443296,0.7367021276595745,0.19445012055655583,0.12369262713699927,74,67,2,14,"[[74, 67], [2, 14]]",7
Random Forest,0.18,0.5159235668789809,0.6196808510638298,0.14285714285714285,0.75,0.75,0.48936170212765956,0.24,0.636968085106383,0.1378195709230406,0.13166136149241917,69,72,4,12,"[[69, 72], [4, 12]]",8
Random Forest,0.18,0.6178343949044586,0.7041223404255319,0.18571428571428572,0.8125,0.8125,0.5957446808510638,0.3023255813953488,0.7203014184397163,0.26182627999693225,0.11320546514665286,84,57,3,13,"[[84, 57], [3, 13]]",9
